Date/Time,Word Count,en,fr,fr-FR,ja
2024.08.19-09.51.59,1255,1255,0,1228,0
2024.08.19-09.56.08,1255,1255,0,1254,0
2024.08.19-09.57.44,1254,1254,0,1253,0
2024.08.19-09.58.32,1255,1255,0,1254,0
2024.08.21-17.22.29,1264,1264,0,1255,0
2024.08.21-17.25.48,1260,1260,0,1260,0
2024.08.22-09.00.51,1269,1269,0,1260,0
2024.08.22-09.02.22,1269,1269,0,1269,0
2024.09.22-10.33.31,1368,1368,0,1260,0
2024.09.22-11.04.47,1327,1327,0,1260,0
2024.09.22-11.05.59,1313,1313,0,1260,0
2024.09.26-08.23.52,1323,1323,0,1239,0
2024.09.26-08.30.04,1321,1321,0,1248,0
2024.09.26-08.31.33,1320,1320,0,1249,0
2024.09.26-08.35.31,1319,1319,0,1249,0
2024.09.26-08.38.17,1319,1319,0,1251,0
2024.09.26-11.22.33,1321,1321,0,1249,0
2024.09.26-11.30.25,1321,1321,0,1318,0
2024.09.26-11.34.55,1321,1321,0,1321,0
2024.09.30-10.19.04,1328,1328,0,1321,0
2024.09.30-10.20.16,1321,1321,0,1321,0
2024.10.05-11.28.20,1372,1372,0,1318,0
2024.10.05-11.30.25,1318,1318,0,1318,0
2024.10.20-17.32.38,1345,1345,0,1318,0
2024.10.20-17.34.51,1342,1342,0,1342,0
2024.10.20-17.53.54,1356,1356,0,1342,0
2024.10.20-17.55.05,1356,1356,0,1356,0
2024.10.20-20.58.02,1359,1359,0,1354,0
2024.10.20-20.59.06,1359,1359,0,1359,0
2024.10.21-09.36.49,1366,1366,0,1359,0
2024.10.21-09.37.22,1359,1359,0,1359,0
2024.11.04-10.23.06,1359,1359,1359,0,0
2024.12.03-13.34.38,1366,1366,1274,0,0
2024.12.03-13.39.46,1365,1365,1359,0,0
2024.12.03-13.40.18,1365,1365,1365,0,0
2024.12.30-09.13.31,1677,1677,1322,0,0
2024.12.30-09.14.25,1497,1497,1322,0,0
2024.12.30-09.21.31,1491,1491,1420,0,0
2024.12.30-09.26.11,1489,1489,1489,0,0
2024.12.30-16.32.18,1562,1562,1489,0,0
2024.12.30-16.44.27,1505,1505,1488,0,0
2024.12.30-16.44.57,1505,1505,1505,0,0
2025.01.03-23.23.01,1569,1569,1505,0,0
2025.01.03-23.28.19,1567,1567,1567,0,0
2025.01.08-17.17.13,1583,1583,1567,0,0
2025.01.08-17.18.05,1583,1583,1581,0,0
2025.02.25-13.45.33,2427,2427,1561,0,0
2025.02.25-13.47.34,2417,2417,1561,0,0
2025.02.25-13.48.31,1598,1598,1561,0,0
2025.03.05-11.30.50,1629,1629,1561,0,0
2025.03.05-11.33.08,1629,1629,1565,0,0
2025.03.05-11.38.49,1629,1629,1599,0,0
2025.03.05-11.44.43,1630,1630,1599,0,0
2025.03.05-11.45.22,1630,1630,1600,0,0
2025.03.10-13.26.09,1600,1600,1600,0,0
2025.04.05-08.48.00,1608,1608,1598,0,0
2025.04.05-08.49.13,1608,1608,1608,0,0
2025.06.02-10.57.26,1605,1605,1572,0,0
2025.06.02-10.58.28,1605,1605,1603,0,0
2025.07.02-10.36.51,1620,1620,1565,0,0
2025.07.02-10.38.27,1833,1833,1565,0,0
2025.07.02-10.44.05,1752,1752,1565,0,0
2025.07.02-10.46.22,1716,1716,1565,0,0
2025.07.02-10.48.44,1700,1700,1565,0,0
2025.07.02-10.52.43,1687,1687,1565,0,0
2025.07.02-10.54.56,1621,1621,1565,0,0
2025.07.09-10.35.44,1733,1733,1565,0,0
2025.07.09-10.37.32,1707,1707,1529,0,0
2025.07.09-10.39.10,1707,1707,1576,0,0
2025.07.09-10.40.24,1691,1691,1576,0,0
2025.07.09-10.41.56,1659,1659,1576,0,0
2025.07.09-10.43.04,1606,1606,1576,0,0
2025.07.09-10.43.52,1598,1598,1576,0,0
2025.07.09-10.44.47,1595,1595,1576,0,0
2025.07.09-10.45.50,1595,1595,1592,0,0
2025.07.16-09.12.47,1607,1607,1592,0,0
2025.07.16-09.16.09,1607,1607,1607,0,0
2025.07.16-11.14.23,1636,1636,1607,0,0
2025.07.16-11.16.35,1607,1607,1607,0,0
2025.07.18-14.02.51,1548,1548,1548,0,0
